ID,designationCode,designationName,description,status
11111111-1111-1111-1111-111111111111,DES0001,Software Engineer,Software Development,Active
22222222-2222-2222-2222-222222222222,DES0002,Senior Software Engineer,Senior Software Development,Active
33333333-3333-3333-3333-333333333333,DES0003,Technical Lead,Technical Team Lead,Active
44444444-4444-4444-4444-444444444444,DES0004,Project Manager,Project Management,Active
55555555-5555-5555-5555-555555555555,DES0005,HR Manager,Human Resources Management,Active
66666666-6666-6666-6666-666666666666,DES0006,System Administrator,System Administration,Active
77777777-7777-7777-7777-777777777777,DES0007,Business Analyst,Business Analysis,Active
88888888-8888-8888-8888-888888888888,DES0008,QA Engineer,Quality Assurance,Active
99999999-9999-9999-9999-999999999999,DES0009,Solution Architect,Enterprise Solution Architecture,Active
AAAAAAAA-AAAA-AAAA-AAAA-AAAAAAAAAAAA,DES0010,DevOps Engineer,CI/CD and Infrastructure Automation,Active
