ID,gradeCode,gradeName,description,status
11111111-AAAA-1111-AAAA-111111111111,GRADE0001,G1,Entry Level,Active
22222222-AAAA-2222-AAAA-222222222222,GRADE0002,G2,Junior Level,Active
33333333-AAAA-3333-AAAA-333333333333,GRADE0003,G3,Mid Level,Active
44444444-AAAA-4444-AAAA-444444444444,GRADE0004,G4,Senior Level,Active
55555555-AAAA-5555-AAAA-555555555555,GRADE0005,G5,Lead Level,Active
66666666-AAAA-6666-AAAA-666666666666,GRADE0006,G6,Manager Level,Active
77777777-AAAA-7777-AAAA-777777777777,GRADE0007,G7,Senior Manager,Active
88888888-AAAA-8888-AAAA-888888888888,GRADE0008,G8,General Manager,Active
99999999-AAAA-9999-AAAA-999999999999,GRADE0009,G9,Director,Active
AAAAAAAA-AAAA-AAAA-AAAA-AAAAAAAAAAAA,GRADE0010,G10,Vice President,Active
